trial;start_time;rt;correct;fact_id;question;context_1;context_2;answer;chosen_context;encounter_2;reading_time;fogetting_rate
1;1374843.0;2269.0;FALSE;1;tevreden;Mijn baas was erg <b>tevreden</b> over het resultaat.;Hij is niet snel <b>tevreden</b>,hij is erg kritisch.;satisfied;tevreden;FALSE;875.6;0.29960937499999996
2;1378601.0;6345.0;TRUE;1;tevreden;Mijn baas was erg <b>tevreden</b> over het resultaat.;Hij is niet snel <b>tevreden</b>,hij is erg kritisch.;satisfied;tevreden;FALSE;875.6;0.34921875
3;1387564.0;1614.0;FALSE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.3
4;1390691.0;4479.0;FALSE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.3
5;1396688.0;3439.0;FALSE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.349609375
6;1402716.0;7968.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.349609375
7;1413038.0;1528.0;TRUE;1;tevreden;Mijn baas was erg <b>tevreden</b> over het resultaat.;Hij is niet snel <b>tevreden</b>,hij is erg kritisch.;satisfied;tevreden;FALSE;875.6;0.29960937500000007
8;1417328.0;1647.0;TRUE;2;verwondering;Kinderen zitten vol <b>verwondering</b>.;Ik sta vol <b>verwondering</b> naar de sterren te kijken.;"wonder;surprise";verwondering;FALSE;622.1;0.30000000000000004
9;1422196.0;2053.0;FALSE;4;scheren;Ik moet iedere morgen opnieuw de stoppels van mijn gezicht <b>scheren</b>.;Mijn vader heeft me geleerd hoe ik moet <b>scheren</b>.;"shave;to shave<b>";scheren;FALSE;1285.1;0.3
10;1426338.0;6315.0;TRUE;3;bijeenkomst;SNIC is een <b>bijeenkomst</b> met studenten van verschillende opleidingen.;De <b>bijeenkomst</b> begint om 10 uur.;"meeting;gathering";bijeenkomst;FALSE;1304.6;0.39921874999999996
